iter	Logloss
0	0.6870056794
1	0.6807162745
2	0.6735654795
3	0.6678549373
4	0.6613918942
5	0.6521990003
6	0.6426318144
7	0.6333224797
8	0.6278222012
9	0.6211277303
10	0.6139217484
11	0.6078246579
12	0.5999318027
13	0.5953225362
14	0.5891066162
15	0.5852606448
16	0.5792526358
17	0.5732010645
18	0.5678847936
19	0.5643312987
20	0.5577539831
21	0.5498787584
22	0.5450491509
23	0.5401193341
24	0.5351397771
25	0.5303327574
26	0.5257931391
27	0.5217615021
28	0.5153400898
29	0.5100721145
30	0.5051376517
31	0.5010441487
32	0.4948821408
33	0.4913246564
34	0.4884985942
35	0.4847963219
36	0.4807040824
37	0.4763735433
38	0.4703965636
39	0.4654509584
40	0.4629482312
41	0.4596427455
42	0.4566796594
43	0.4530405667
44	0.4493921487
45	0.4455002465
46	0.4409615659
47	0.4369798365
48	0.4334456897
49	0.4301043507
50	0.4280949384
51	0.4255534053
52	0.4233735787
53	0.4198788429
54	0.4186727517
55	0.4153324348
56	0.4128235707
57	0.4094786525
58	0.4072940272
59	0.4045693517
60	0.3999212865
61	0.3981226963
62	0.3947309778
63	0.3937046667
64	0.39310893
65	0.3903899671
66	0.3869348105
67	0.3840542266
68	0.3819502654
69	0.377802933
70	0.374511628
71	0.3714381759
72	0.3682096372
73	0.3646675161
74	0.3612695905
75	0.3600304748
76	0.3565341817
77	0.3534008479
78	0.3512048532
79	0.3481436272
80	0.3458293645
81	0.3455280309
82	0.3445618254
83	0.3432261443
84	0.3408684216
85	0.3381598172
86	0.3361620298
87	0.3335554934
88	0.3319476166
89	0.329693531
90	0.3279920396
91	0.3265840921
92	0.3243621421
93	0.3213207446
94	0.3188965871
95	0.3163642066
96	0.3137336437
97	0.3122882288
98	0.3115220783
99	0.3097663626
100	0.3094600046
101	0.3077077346
102	0.3051697937
103	0.3035061834
104	0.3013370254
105	0.3001142765
106	0.296363419
107	0.2955223184
108	0.293857551
109	0.2920191794
110	0.2907230172
111	0.2893758389
112	0.2879608097
113	0.2865864942
114	0.2862697388
115	0.2843465963
116	0.2820182596
117	0.2801873059
118	0.2796262602
119	0.2784362871
120	0.2763073573
121	0.2751257255
122	0.2728532311
123	0.271310807
124	0.2696887352
125	0.2673566994
126	0.2654160997
127	0.2651984576
128	0.264783897
129	0.2637217544
130	0.2614804777
131	0.2599508414
132	0.2580343774
133	0.2557542157
134	0.2545460406
135	0.2521092271
136	0.2510477073
137	0.2497255876
138	0.2476561621
139	0.2459138691
140	0.2456452409
141	0.2445482187
142	0.2432851303
143	0.2409503406
144	0.2392492072
145	0.2379181242
146	0.2366012696
147	0.2350055187
148	0.2343194686
149	0.2329075592
150	0.2315427266
151	0.2304677839
152	0.2290600143
153	0.2277728563
154	0.2272725762
155	0.2263455788
